key,ar,en
how_2,"عندنا مسار واضح يبدأ من المجاني:
🆓 Recruit (مجاني): تذوّق المستوى صفر + المجتمع + كلمة اليوم
⭐ Core: النظام اليومي الكامل + المجتمع + المتابعة
👑 Citizen: كل ما سبق + مدرّب ذكاء اصطناعي + أولوية في التصحيح
🏛️ Founding Citizen (مقاعد محدودة): عضوية دائمة + لقب مؤسس
الأسعار نرتّبها لك حسب هدفك في مكالمة قصيرة أو رسالة خاصة — عشان تختار الأنسب لك فعلاً.","We have a clear path that starts free:
🆓 Recruit (free): Level 0 taster + community + word of the day
⭐ Core: the full daily system + community + tracking
👑 Citizen: all that + AI tutor + priority feedback
🏛️ Founding Citizen (limited seats): lifetime access + founder status
We'll sort out pricing around your goal in a short call or DM — so you pick what truly fits you."
how_3,أنصحك تبدأ بتجربة 7 أيام المجانية وتشوف بنفسك 👇 وإذا حبيت تفاصيل الأسعار والباقات، احجز مكالمة قصيرة أو راسلنا.,"I'd start with the free 7-day trial and see for yourself 👇 and if you'd like pricing and package details, book a short call or DM us."
call_intro,"مكالمة قصيرة (15–20 دقيقة)، بدون ضغط بيع 🙂
في المكالمة:
• نحدّد مستواك وهدفك بدقة
• نرسم لك خطة واضحة للأسابيع القادمة
• تسأل أي شي وتشوف إذا Empire يناسبك
اختر وقت يناسبك 👇
{CALL_URL}","A short call (15–20 min), zero sales pressure 🙂
On the call we'll:
• Pinpoint your exact level and goal
• Map a clear plan for your coming weeks
• Answer anything, so you can see if Empire fits you
Pick a time that suits you 👇
{CALL_URL}"
community_invite,"أهلاً فيك في عائلة Empire 🏛
• مجتمع Discord (تمارين، صوتيات، فعاليات): {DISCORD_INVITE}
• مجموعة النقاش على تيليجرام (أسئلة + كلمة اليوم): {GROUP_INVITE}
ادخل، عرّف عن نفسك، وابدأ معنا 💪","Welcome to the Empire family 🏛
• Discord community (drills, voice rooms, events): {DISCORD_INVITE}
• Telegram discussion group (Q&A + word of the day): {GROUP_INVITE}
Hop in, introduce yourself, and start with us 💪"
consent_prompt,قبل ما نكمل: تسمح لنا نرسل لك خطتك ونصائح مفيدة من وقت لآخر؟ (تقدر توقفها أي وقت بكتابة /stop),Before we continue: may we send you your plan and occasional helpful tips? (You can stop anytime with /stop)
consent_no,تمام، ما رح نرسل رسائل ترويجية 🙂 هديتك/خطتك تحت 👇,"No problem, we won't send marketing messages 🙂 Your gift/plan is below 👇"
name_l0,المستوى صفر — مبتدئ تمامًا,Level 0 — Absolute Beginner
name_l1,المستوى الأول — إنجليزية النجاة,Level 1 — Survival English
name_l2,المستوى الثاني — التواصل,Level 2 — Communication
name_l3,المستوى الثالث — الطلاقة واللهجة,Level 3 — Fluency & Accent
plan_l0,"نتيجتك يا {first_name}: المستوى صفر — مبتدئ تمامًا 🌱
هذا ممتاز — البداية الصحيحة أهم من البداية السريعة. نركّز أول شي على:
• أصوات الإنجليزية الأساسية (نطق سليم من اليوم الأول)
• أول 500 كلمة الأكثر استخدامًا
• جُمل تعريف بسيطة عن نفسك
وبما إن هدفك {goal}، رح نوجّه التمارين نحوه من البداية.
المسار المناسب لك: {track}.","Your result, {first_name}: Level 0 — Absolute Beginner 🌱
Starting right matters more than starting fast. We focus first on:
• Core English sounds (correct pronunciation from day one)
• Your first 500 most-used words
• Simple sentences to introduce yourself
Since your goal is {goal}, we'll aim the practice toward it from the start.
Your recommended track: {track}."
plan_l1,"نتيجتك يا {first_name}: المستوى الأول — إنجليزية النجاة 💪
عندك أساس — هدفنا الحين تتكلم في المواقف اليومية بدون توتر. نركّز على:
• محادثات يومية (طلبات، اتجاهات، تعارف)
• التشديد وإيقاع الجملة الأمريكي
• توسيع المفردات إلى ~1500 كلمة
وبما إن هدفك {goal}، رح نختار المواقف الأقرب له.
المسار المناسب لك: {track}.","Your result, {first_name}: Level 1 — Survival English 💪
You have a base — now the goal is everyday situations without stress. We focus on:
• Daily conversations (ordering, directions, small talk)
• American stress and sentence rhythm
• Growing vocabulary toward ~1,500 words
Since your goal is {goal}, we'll pick the closest scenarios.
Your recommended track: {track}."
plan_l2,"نتيجتك يا {first_name}: المستوى الثاني — التواصل 🚀
أنت تتواصل — هدفنا الحين السرعة، الطلاقة، وفهم الكلام الطبيعي. نركّز على:
• مواضيع أعقد (آراء، شرح، حكايات)
• الربط والاختزال في النطق
• فهم السرعة الطبيعية + التعابير الشائعة
وبما إن هدفك {goal}، رح نكثّف التمارين المرتبطة فيه.
المسار المناسب لك: {track}.","Your result, {first_name}: Level 2 — Communication 🚀
Now the goal is speed, fluency, and understanding natural speech. We focus on:
• More complex topics (opinions, explanations, stories)
• Linking and reduction (connected speech)
• Natural speed + common idioms
Since your goal is {goal}, we'll concentrate the practice around it.
Your recommended track: {track}."
plan_l3,"نتيجتك يا {first_name}: المستوى الثالث — الطلاقة واللهجة 🏆
مستوى متقدم! هدفنا الحين الصقل: طلاقة طبيعية ولهجة أوضح. نركّز على:
• صقل دقيق للنطق (Flap T، الشوا، الربط)
• مفردات وتعابير ومصطلحات أصلية
• التعبير الحر والثقة في أي موضوع
وبما إن هدفك {goal}، رح نخصّص التمارين له.
المسار المناسب لك: {track}.
(ملاحظة صادقة: الوصول للهجة ""أصلية تمامًا"" نادر للكبار — هدفنا الوضوح والثقة والطلاقة القابلة للقياس.)","Your result, {first_name}: Level 3 — Fluency & Accent 🏆
The goal now is refinement: natural fluency and a clearer accent. We focus on:
• Micro-refinement (Flap T, schwa, linking)
• Native-like vocabulary, idioms, expressions
• Free expression and confidence on any topic
Since your goal is {goal}, we'll tailor the practice to it.
Your recommended track: {track}.
(Honest note: a truly ""native"" accent is rare for adults — our aim is measurable clarity, confidence, and fluency.)"
